#Parameters = {n=0.125; Wp=7.5; Ws=15; h=0.762; phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (Wp=7.5) [Phase in Degrees]"
#----------------------------------------------------------------
9.2720000000000	-31.798293940465
9.2760000000000	-32.045803879468
9.2800000000000	-32.294978207987
9.2840000000000	-32.545840787402
9.2880000000000	-32.798415921474
9.2920000000000	-33.052728366231
9.2960000000000	-33.308803340102
9.3000000000000	-33.566666534318
9.3040000000000	-33.826344123574
9.3080000000000	-34.087862776967
9.3120000000000	-34.351249669222
9.3160000000000	-34.616532492201
9.3200000000000	-34.883739466716
9.3240000000000	-35.152899354650
9.3280000000000	-35.424041471385
9.3320000000000	-35.697195698570
9.3360000000000	-35.972392497206
9.3400000000000	-36.249662921088
9.3440000000000	-36.529038630593
9.3480000000000	-36.810551906831
9.3520000000000	-37.094235666172
9.3560000000000	-37.380123475155
9.3600000000000	-37.668249565793
9.3640000000000	-37.958648851280
9.3680000000000	-38.251356942119
9.3720000000000	-38.546410162677
9.3760000000000	-38.843845568180
9.3800000000000	-39.143700962163
9.3840000000000	-39.446014914384
9.3880000000000	-39.750826779215
9.3920000000000	-40.058176714531
9.3960000000000	-40.368105701099
9.4000000000000	-40.680655562488
9.4040000000000	-40.995868985514
9.4080000000000	-41.313789541235
9.4120000000000	-41.634461706503
9.4160000000000	-41.957930886108
9.4200000000000	-42.284243435502
9.4240000000000	-42.613446684145
9.4280000000000	-42.945588959474
9.4320000000000	-43.280719611515
9.4360000000000	-43.618889038162
9.4400000000000	-43.960148711127
9.4440000000000	-44.304551202595
9.4480000000000	-44.652150212587
9.4520000000000	-45.003000597062
9.4560000000000	-45.357158396764
9.4600000000000	-45.714680866851
9.4640000000000	-46.075626507304
9.4680000000000	-46.440055094152
9.4720000000000	-46.808027711524
9.4760000000000	-47.179606784556
9.4800000000000	-47.554856113164
9.4840000000000	-47.933840906704
9.4880000000000	-48.316627819558
9.4920000000000	-48.703284987631
9.4960000000000	-49.093882065818
9.5000000000000	-49.488490266435
