#Parameters = {Cylinder_radius=210; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0.0035; distance=230.7655; focal=210; h=0.762; lam=20; radius=0; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
50.000000000000	-16.700677571587
51.000000000000	-16.805621906937
52.000000000000	-10.929460268699
53.000000000000	-6.6078448391771
54.000000000000	-3.8418419273361
55.000000000000	-2.0352732690846
56.000000000000	-0.75926483435495
57.000000000000	0.29212779377239
58.000000000000	1.2614305701797
59.000000000000	2.1093660776798
60.000000000000	2.7026329009985
61.000000000000	2.9011241291053
62.000000000000	2.5805968476502
63.000000000000	1.5916683449959
64.000000000000	-0.32780156626017
65.000000000000	-3.7883770953104
66.000000000000	-10.106164742932
67.000000000000	-8.9766960562113
68.000000000000	-2.3358169867682
69.000000000000	1.5185006629695
70.000000000000	3.8698389735464
71.000000000000	5.2630546643321
72.000000000000	5.9407223918103
73.000000000000	6.0489921308985
74.000000000000	5.7396687650545
75.000000000000	5.2526996780373
76.000000000000	4.9547419679582
77.000000000000	5.1597750586652
78.000000000000	5.8274089364614
79.000000000000	6.6439922870180
80.000000000000	7.3440101261235
81.000000000000	7.8185594276130
82.000000000000	8.0826809397217
83.000000000000	8.2424785445391
84.000000000000	8.4653922717626
85.000000000000	8.8999283835755
86.000000000000	9.5626962578907
87.000000000000	10.320117709529
88.000000000000	10.991825908049
89.000000000000	11.439674515960
90.000000000000	11.589480388180
91.000000000000	11.420643772341
92.000000000000	10.958879377222
93.000000000000	10.281386385956
94.000000000000	9.5226791485567
95.000000000000	8.8479021704528
96.000000000000	8.3693989521443
97.000000000000	8.0612468991148
98.000000000000	7.7823675065745
99.000000000000	7.3749345784733
100.00000000000	6.7359664346165
101.00000000000	5.8545846520715
102.00000000000	4.8717235979190
103.00000000000	4.1455313998814
104.00000000000	4.0762525411296
105.00000000000	4.6191118094507
106.00000000000	5.3043738446781
107.00000000000	5.7133188962344
108.00000000000	5.6167722981328
109.00000000000	4.8713302316892
110.00000000000	3.3104208812004
111.00000000000	0.60093068554055
